Simulation	SoftwareName	JaamSim	-
Simulation	SoftwareVersion	2022-07	-
Simulation	ConfigurationFile	C:\Users\dcla189\OneDrive - The University of Auckland\2023 Sem2\2023.2\355JaamSim\group\complete_model.cfg	-
Simulation	ScenarioNumber	1.0	-
Simulation	ScenarioIndex	{ 1 }	-
Simulation	ReplicationNumber	1.0	-
Simulation	RunNumber	1.0	-
Simulation	RunIndex	{ 1 }	-
Simulation	PresentTimeAndDate	Oct 18, 2023 12:12	-
Simulation	InitializationDuration	168.0	h
Simulation	RunDuration	504.0	h
Simulation	PresentSimulationTime	0.0	h

this.SimTime/1[h]	Scenario	Replication	this.obj	Event	EventTime
5.496122843333333	1	1	Orderly6	PatientTransit.wait-at-dropoff	5.137498452777778
5.496122843333333	1	1	Orderly6	PatientTransit.travel-to-base	5.470831786111111
5.496122843333333	1	1	Orderly6	PatientTransit.wait-task-orderly	5.496122843333333
5.659865079999999	1	1	Orderly3	PatientTransit.orderly-travel-to-patient	3.302043349722222
5.659865079999999	1	1	Orderly3	PatientTransit.pickup	3.367571841666667
5.659865079999999	1	1	Orderly3	PatientTransit.travel-to-destination	3.4286102847222217
5.659865079999999	1	1	Orderly3	PatientTransit.dropoff	3.928101184444444
5.659865079999999	1	1	Orderly3	PatientTransit.wait-at-dropoff	4.026864745277777
5.659865079999999	1	1	Orderly3	PatientTransit.orderly-travel-to-patient	4.334408405555555
5.659865079999999	1	1	Orderly3	PatientTransit.pickup	4.370864821944444
5.659865079999999	1	1	Orderly3	PatientTransit.travel-to-destination	4.462687833333334
5.659865079999999	1	1	Orderly3	PatientTransit.dropoff	5.1349654211111115
5.659865079999999	1	1	Orderly3	PatientTransit.wait-at-dropoff	5.135328191388888
5.659865079999999	1	1	Orderly3	PatientTransit.travel-to-base	5.468661524722222
5.659865079999999	1	1	Orderly3	PatientTransit.wait-task-orderly	5.659865079999999
5.810532126111111	1	1	Orderly4	PatientTransit.orderly-travel-to-patient	3.302208487222222
5.810532126111111	1	1	Orderly4	PatientTransit.pickup	3.325640935277778
5.810532126111111	1	1	Orderly4	PatientTransit.travel-to-destination	3.8008728527777778
5.810532126111111	1	1	Orderly4	PatientTransit.dropoff	3.9052039241666665
5.810532126111111	1	1	Orderly4	PatientTransit.wait-at-dropoff	3.9367178802777776
5.810532126111111	1	1	Orderly4	PatientTransit.orderly-travel-to-patient	4.160598571944445
5.810532126111111	1	1	Orderly4	PatientTransit.pickup	4.287168686666667
5.810532126111111	1	1	Orderly4	PatientTransit.travel-to-destination	4.388512507222222
5.810532126111111	1	1	Orderly4	PatientTransit.dropoff	4.532353983611111
5.810532126111111	1	1	Orderly4	PatientTransit.wait-at-dropoff	4.558975668611111
5.810532126111111	1	1	Orderly4	PatientTransit.orderly-travel-to-patient	4.558975668611111
5.810532126111111	1	1	Orderly4	PatientTransit.pickup	4.671639161944444
5.810532126111111	1	1	Orderly4	PatientTransit.travel-to-destination	4.825070028611111
5.810532126111111	1	1	Orderly4	PatientTransit.dropoff	4.834569297777778
5.810532126111111	1	1	Orderly4	PatientTransit.wait-at-dropoff	4.906648683055555
5.810532126111111	1	1	Orderly4	PatientTransit.orderly-travel-to-patient	4.906648683055555
5.810532126111111	1	1	Orderly4	PatientTransit.pickup	4.935925905833333
